EXEMPLAR - COD.;titulo;autor;volume;EDIÇÃO;ANO;editora;COLEÇÃO;SÉRIE;ISBN;Nº EXEMPLAR;ASSUNTO;CLASSIFICAÇÃO;IDIOMA;OBSERVAÇÃO DO EXEMPLAR;;;;;;;;;;;;;;;;;;
E-100061;Posso saber se sou salvo?;R.C.Sproul;;;2013;Fiel;Questões Cruciais - n.07;;9,78858E+12;1;"primeiros passos; discipulado básico; salvação";DiB-S771;;;;;;;;;;;;;;;;;;;;
E-100062;Posso crer na Bíblia?;R.C.Sproul;;2012;2014 (reimpr.);Fiel;Questões Cruciais - n.02;;9,78858E+12;1;"primeiros passos; discipulado básico; Bíblia - revelação e autoridade";DiB-S771;;;;;;;;;;;;;;;;;;;;
E-100063;Deus é santo! Como posso me aproximar dele?;R.C.Sproul;;2014;2017 (reimpr.);Fiel;;;9,78858E+12;1;"primeiros passos; discipulado básico; santidade; vida cristã";DiB-S771;;;;;;;;;;;;;;;;;;;;
E-100064;Deus é santo! Como posso me aproximar dele?;R.C.Sproul;;2014;2017 (reimpr.);Fiel;;;9,78858E+12;2;"primeiros passos; discipulado básico; santidade; vida cristã";DiB-S771;;;;;;;;;;;;;;;;;;;;
E-100065;O que significa ser nascido de novo?;R.C.Sproul;;2013;2015 (reimpr.);Fiel;Questões Cruciais - n.06;;9,78858E+12;1;"primeiros passos; discipulado básico; regeneração";DiB-S771;;;;;;;;;;;;;;;;;;;;
E-100066;Quem é o Espírito Santo?;R.C.Sproul;;;2013;Fiel;Questões Cruciais - n.12;;9,78858E+12;1;"primeiros passos; discipulado básico; Espírito Santo; pneumatologia";DiB-S771;;;;;;;;;;;;;;;;;;;;
E-100067;Quem é Jesus?;R.C.Sproul;;;2012;Fiel;Questões Cruciais - n.1;;9,78858E+12;1;"primeiros passos; discipulado básico; Jesus Cristo; cristologia";DiB-S771;;;;;;;;;;;;;;;;;;;;
E-100068;O que é arrependimento?;R.C.Sproul;;2014;2019 (reimpr.);Fiel;Questões Cruciais - n.17;;9,78858E+12;1;"primeiros passos; discipulado básico; arrependimento; vida cristã";DiB-S771;;;;;;;;;;;;;;;;;;;;
E-100069;O que é a Grande Comissão?;R.C.Sproul;;;2016;Fiel;Questões Cruciais - n.20;;9,78858E+12;1;"primeiros passos; discipulado básico; evangelismo; missões.";DiB-S771;;;;;;;;;;;;;;;;;;;;
E-100070;A graça do arrependimento;Sinclair Ferguson;;;2014;Fiel;;;9,78858E+12;1;"primeiros passos; discipulado básico; arrependimento; vida cristã";DiB-F352;;;;;;;;;;;;;;;;;;;;
E-100071;Calvino, Genebra e a propagação da reforma na França do séc. XVI;Jean- Marc Berthoud;;;2017;Monergismo;;;9,78857E+12;1;"Reforma protestante; história da igreja; João Calvino";HI;;;;;;;;;;;;;;;;;;;;
E-100072;Gálatas para você;Timothy Keller;;;2015;Vida Nova;;;9,78853E+12;1;comentário bíblico;RCo-K29;;;;;;;;;;;;;;;;;;;;
E-100073;O que aprendi em Nárnia;Douglas Wilson;;;2018;Monergismo;;;9,78857E+12;1;"análise literária; ";LA-W746;;;;;;;;;;;;;;;;;;;;
E-100074;O que aprendi em Nárnia;Douglas Wilson;;;2018;Monergismo;;;9,78857E+12;2;"análise literária; ";LA-W746;;;;;;;;;;;;;;;;;;;;
E-100075;Lutero como conselheiro espiritual;Dennis Ngien;;;2017;Vida Nova;;;9,78853E+12;1;"Espiritualidade; vida cristã; devocional";VCE-N576;;;;;;;;;;;;;;;;;;;;
E-100076;Os perigos da interpretação bíblica;D. A. Carson;;2.ed. 2001;2014 (reimpr.);Vida Nova;;;9,78853E+12;1;hermeneutica;HE-C321;;;;;;;;;;;;;;;;;;;;
E-100077;Fogo estranho;John MacArthur;;;2015;Thomas Nelson;;;9,78858E+12;1;doutrina do Espírito Santo;TSPn-M116;;;;;;;;;;;;;;;;;;;;
E-100078;A fraude do Código da Vinci;Erwin Lutzer;;;2004;Vida;;;8573678798;1;;AL-L975;;;;;;;;;;;;;;;;;;;;
E-100079;Verdades que transformam;D. James Kennedy;;2. ed.;2012;Fiel;;;9,78858E+12;1;;DiB-K35;;;;;;;;;;;;;;;;;;;;
E-100080;Vencendo o mundo;Joel Beeke;;;2008;Fiel;;;9,7886E+12;1;"Vida cristã; piedade; santidade";VCE-B414;;;;;;;;;;;;;;;;;;;;
E-100081;Pilares da fé;Franklin Ferreira;;;2017;Vida Nova;;;9,78853E+12;1;"Teologia sistemática; Reforma protestante; solas";TS-F383;;;;;;;;;;;;;;;;;;;;
E-100082;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E-100083;La fe de los humanistas;Francis Schaeffer;;4.ed.;2013;FELiRe;;;9,78906E+12;1;"apologética; humanismo";A-S294;;;;;;;;;;;;;;;;;;;;
E-100084;El catecismo de Heidelberg;;;4.ed.;1993;FELiRe;;;9063110197;1;"símbolo de fé; catecismo";SI-C358;;;;;;;;;;;;;;;;;;;;
E-100085;Respuesta al cardenal Sadoleto;Juan Calvino;;5.ed;2000;FELiRe;;;906311013;1;"igreja; reforma protestante; João Calvino";I-C168;;;;;;;;;;;;;;;;;;;;
E-100086;Estudos no sermão do monte;Martyn Lloyd-Jones;;1.ed. 1984;2009 (reimpr.);Fiel;;;9,7886E+12;1;"estudo bíblico; vida cristã";EB-L793;;;;;;;;;;;;;;;;;;;;
E-100087;Mananciais no deserto;Lettie Cowman;;2.ed.;1999;Betânia;;;8535800123;1;"devocional; vida cristã; espiritualidade";VCE-C875;;;;;;;;;;;;;;;;;;;;
E-100088;Oração, um encontro com Deus;Oswald Chambers;;;2011;Vida;;;9,78854E+12;1;"disciplina espiritual; vida cristã";VCE-C444;;;;;;;;;;;;;;;;;;;;
E-100089;Surprising insights from the unchurched and proven ways to reach them;Tom. S. Rainer;;;2001;Zondervan;;;9,78031E+12;1;"evangelismo; desigreados";MEI-R155;Inglês;;;;;;;;;;;;;;;;;;;
E-100090;The unchurched next door;Tom. S. Rainer;;;2003;Zondervan;;;9,78031E+12;1;"evangelismo; desigreados";MEI-R155;Inglês;;;;;;;;;;;;;;;;;;;
E-100091;A precio de sangre: la misión cristiana en los contextos de sufrimiento, persecución y martirio;"Guillermo D. Taylor; Antonia van der Meer; Reg Reimer (org.)";;;2012;Unilit;;;789923718;1;"missões; perseguição; martírio; sofrimento; crescimento do evangelho";MEI-P923;Espanhol;;;;;;;;;;;;;;;;;;;
E-100092;Predicando com fidelidade: introducción a la homilética ;Rosther Guimarães Lopes;;;2015;;;;;1;"homilética; pregação; ";Ho-L864;Espanhol;;;;;;;;;;;;;;;;;;;
E-100093;Uma vida voltada para Deus;John Piper;;;2007;Fiel;;;8599145272;1;"vida cristã; cristianismo integral; vida pessoal; vida pública; cultura";VCE-P665;;;;;;;;;;;;;;;;;;;;
E-100094;A verdade da cruz;R.C. Sproul;;;2011;Fiel;;;9,7886E+12;1;"redenção; salvação; expiação;";DiB-S771;;;;;;;;;;;;;;;;;;;;
E-100095;Oração: como a oração comunitária molda a igreja;John Onwuchekwa;;;2019;Vida Nova;;9 Marcas: Construindo igrejas saudáveis;9,78853E+12;1;"oração comunitária; igreja";I-O59;;;;;;;;;;;;;;;;;;;;
E-100096;Pai, um homem de valor;Hernandes Dias Lopes;;;2008;Hagnos;;;9,78858E+12;1;"homem; paternidade; família; vida cristã";VCF-L864;;;;;;;;;;;;;;;;;;;;
E-100097;Documentos da reforma: Breve Catecismo comentado;Helio Clemente;;;2014;;;;;1;"símbolos de fé; catecismo";SF-C626;;;;;;;;;;;;;;;;;;;;
E-100098;Mulheres no espelho;Elizabeth Gomes;;;2013;Monergismo;;;9,78856E+12;1;"mulher; identidade; vida cristã";VCF-G633;;;;;;;;;;;;;;;;;;;;
E-100099;Namoro: identificando sinais de perigo;Lou Priolo;;;2017;Nutra Publicações;;;9,78856E+12;1;"relacionamento; família; vida cristã";VCF-P958;;;;;;;;;;;;;;;;;;;;
E-100100;Coração e sexualidade;Wadislau Martins Gomes;;;1999;;;;;1;"sexualidade; homem; mulher; sexo; relacionamento; vida cristã";VC-G633;;;;;;;;;;;;;;;;;;;;
E-100101;Disbioética: novas reflexões sobre os rumos de uma ética estranha;Hélio Angotti Neto;V.2;;2018;Monergismo;;;;1;"medicina; ética; filosofia; vida humana;  aborto";FT:A-A592;;;;;;;;;;;;;;;;;;;;
E-100102;Disbioética: novas reflexões sobre os rumos de uma ética estranha;Hélio Angotti Neto;V.2;;2018;;;;;2;"medicina; ética; filosofia; vida humana;  aborto";FT:A-A592;;;;;;;;;;;;;;;;;;;;
E-100103;Movimento da liberdade: os 500 anos da Reforma;Michael Reeves;;;2017;Monergismo;;;9788569980;1;"história da igreja; reforma protestante";HI-R332;;;;;;;;;;;;;;;;;;;;
E-100104;Movimento da liberdade: os 500 anos da Reforma;Michael Reeves;;;2017;Monergismo;;;9788569980;2;"história da igreja; reforma protestante";HI-R332;;;;;;;;;;;;;;;;;;;;
E-100105;O que é um membro de igreja saudável;Thabiti Anyabwile;;1.ed 2010;2011 (reimpr.);Fiel;;9 Marcas;9,7886E+12;1;"igreja local; membresia; vida cristã";VCE-A637;;;;;;;;;;;;;;;;;;;;
E-100106;O que é uma igreja saudável;Mark Dever;;;2009;Fiel;;;9,7886E+12;1;eclesiologia;I-D491;;;;;;;;;;;;;;;;;;;;
E-100107;Por que amamos a igreja?;"Kevin DeYoung; Ted Kluck";;1.ed 2010;2012 (reimpr);Fiel;;;9,78857E+12;1;"eclesiologia; apologética";I:A-D529;;;;;;;;;;;;;;;;;;;;
E-100108;Reformando o casamento: a vida conjugal conforme o evangelho;Douglas Wilson;;;2013;Clire;;Best Seller sobre a Família;9,78856E+12;1;"casamento; família; vida cristã";VCF-W746;;;;;;;;;;;;;;;;;;;;
E-100109;Futuros homens: criando meninos para enfrentar gigantes;Douglas Wilson;;;2013;Clire;;Best Seller sobre a Família;9,78856E+12;1;"criação de filhos; homens; vida familar; vida cristã";VCF-W746;;;;;;;;;;;;;;;;;;;;
E-100110;Fidelidade: como ser marido de uma só mulher;Douglas Wilson;;;2017;Clire;;Best Seller sobre Família;9,78856E+12;1;"homem; sexualidade; sexo; masculinidade";VCF-W746;;;;;;;;;;;;;;;;;;;;
E-100111;A esposa do pastor: fortalecida pela graça para uma vida de amor;Gloria Furman;;;2016;Fiel;;;9,78858E+12;1;"esposa de pastor; família pastoral; encorajamento";VCF-F986;;;;;;;;;;;;;;;;;;;;
E-100112;A reforma protestante;Ricardo Bitun (org.);;;2017;Hagnus;;;9,78858E+12;1;"Reforma protestante; história da igreja; presbiterianismo";HI-R332;;;;;;;;;;;;;;;;;;;;
E-100113;Avivamento para a igreja: o papel do Espírito Santo e da oração na renovação da igreja;Franklin Ferreira;;;2015;Vida Nova;;;9,78853E+12;1;"pneumatologia; eclesiologia; meios de graça; oração";I-F383;;;;;;;;;;;;;;;;;;;;
E-100114;História da igreja cristã;Jesse Lyman Hurlbut;;;2007;Vida;;;9,78857E+12;1;"história da igreja; cristianismo";HI-H965;;;;;;;;;;;;;;;;;;;;
E-100115;O pentecostes e o crescimento da igreja: a extraordinária ação do Espírito Santo em Atos 2;Augustus Nicodemus;;;2017;Vida Nova;;;9,78853E+12;1;"pentecostes; missões; igreja primitiva";MEI-N633;;;;;;;;;;;;;;;;;;;;
